Filename,Severity,Folder,Description
"exposed-kibana.yaml","medium","misconfiguration/exposed-kibana.yaml","Kibana is exposed."
"thinkphp-errors.yaml","medium","misconfiguration/thinkphp-errors.yaml","ThinkPHP error is leaking sensitive info."
"teslamate-unauth-access.yaml","medium","misconfiguration/teslamate-unauth-access.yaml","A misconfig in Teslamate allows unauthorized access to /settings endpoint. "
"gitlab-api-user-enum.yaml","medium","misconfiguration/gitlab/gitlab-api-user-enum.yaml","GitLab - User Information is exposed Via Open API."
"gitlab-uninitialized-password.yaml","high","misconfiguration/gitlab/gitlab-uninitialized-password.yaml","Prior to version 14, GitLab installations required a root password to be set via the web UI. If the administrator skipped this step, any visitor could set a password and control the instance. "
"fusionauth-admin-setup.yaml","high","misconfiguration/fusionauth-admin-setup.yaml","FusionAuth Admin Setup is exposed."
"searchreplacedb2-exposure.yaml","high","misconfiguration/searchreplacedb2-exposure.yaml","Safe Search Replace is exposed leaking internal info."
"chatgpt-web-unauth.yaml","high","misconfiguration/chatgpt-web-unauth.yaml","ChatGPT Web is exposed."
"unauthenticated-alert-manager.yaml","high","misconfiguration/unauthenticated-alert-manager.yaml","Alert Manager was able to be accessed with no authentication requirements in place."
"unauthenticated-glowroot.yaml","high","misconfiguration/unauthenticated-glowroot.yaml","Anonymous user access allows to understand the host internals"
"nacos-create-user.yaml","high","misconfiguration/nacos/nacos-create-user.yaml","Nacos uses a fixed JWT token key to authenticate users in the default configuration. Since Nacos is an open source project, the key is publicly known, so unauthorized attackers can use this fixed key to forge any user identity Log in to Nacos to manage and operate background interface functions. "
"laravel-debug-error.yaml","medium","misconfiguration/laravel-debug-error.yaml","Larvel Debug method is enabled."
"openbmcs-secret-disclosure.yaml","high","misconfiguration/openbmcs/openbmcs-secret-disclosure.yaml","OpenBMCS 2.4 contains an information disclosure vulnerability. The application allows directory listing and exposure of some sensitive files, which can allow an attacker to leverage the disclosed information and gain full access."
"openbmcs-ssrf.yaml","medium","misconfiguration/openbmcs/openbmcs-ssrf.yaml","OpenBMCS 2.4 is susceptible to unauthenticated server-side request forgery and remote file inclusion vulnerabilities within its functionalities. The application parses user supplied data in the POST parameter 'ip' to query a server IP on port 81 by default. Since no validation is carried out on the parameter, an attacker can specify an external domain and force the application to make an HTTP request to an arbitrary destination host."
"grafana-public-signup.yaml","medium","misconfiguration/grafana-public-signup.yaml","Public Signup is enabled on Grafana."
"nextcloud-install.yaml","high","misconfiguration/nextcloud-install.yaml","Nextcloud installation is exposed."
"unauth-redis-insight.yaml","high","misconfiguration/unauth-redis-insight.yaml","RedisInsight was able to be accessed because no authentication was required. "
"label-studio-signup.yaml","unknown","misconfiguration/label-studio-signup.yaml","Detects the presence of the Label Studio sign-up. "
"apache-impala.yaml","medium","misconfiguration/apache-impala.yaml","Apache Impala is exposed."
"spidercontrol-scada-server-info.yaml","high","misconfiguration/spidercontrol-scada-server-info.yaml","SpiderControl SCADA Web Server is vulnerable to sensitive information exposure. Numerous, market-leading OEM manufacturers - from a wide variety of industries - rely on SpiderControl."
"bravia-signage.yaml","medium","misconfiguration/bravia-signage.yaml","Bravia Signage is exposed."
"cdn-cache-poisoning.yaml","unknown","misconfiguration/aws/cdn-cache-poisoning.yaml","When the X-Amz-Server-Side-Encryption header is sent with user controlled value, it can lead to a misconfigured CDN cache response with a 400 status code, making the page inaccessible. "
"aws-s3-explorer.yaml","medium","misconfiguration/aws/aws-s3-explorer.yaml","Amazon Web Services S3 Explorer page was detected. Page contains links to sensitive information."
"seq-dashboard-unath.yaml","high","misconfiguration/seq-dashboard-unath.yaml","Seq is exposed without authentication "
"everything-listing.yaml","high","misconfiguration/everything-listing.yaml","Everything is a freeware desktop search utility for Windows that can rapidly find files and folders by name. "
"mongodb-exporter-metrics.yaml","medium","misconfiguration/mongodb-exporter-metrics.yaml","MongoDB exporter was detected."
"solr-query-dashboard.yaml","high","misconfiguration/solr-query-dashboard.yaml","Solr's admin page was able to be accessed with no authentication requirements in place."
"unauth-wavink-panel.yaml","high","misconfiguration/unauth-wavink-panel.yaml","Wavlink Panel was able to be accessed with no authentication requirements in place."
"mobiproxy-dashboard.yaml","medium","misconfiguration/mobiproxy-dashboard.yaml","MobiProxy dashboard was detected."
"questdb-console.yaml","medium","misconfiguration/questdb-console.yaml","QuestDB console was detected."
"seeyon-unauth.yaml","high","misconfiguration/seeyon-unauth.yaml","Seeyon is vulnerable to unauthorised access."
"metadata-oracle.yaml","critical","misconfiguration/proxy/metadata-oracle.yaml","The Oracle cloud host is configured as a proxy which allows access to the instance metadata IMDSv1 service. This could allow significant access to the host/infrastructure."
"metadata-hetzner.yaml","critical","misconfiguration/proxy/metadata-hetzner.yaml","The Hetzner Cloud host is configured as a proxy which allows access to the instance metadata service. This could allow significant access to the host/infrastructure."
"metadata-alibaba.yaml","critical","misconfiguration/proxy/metadata-alibaba.yaml","The Alibaba host is configured as a proxy which allows access to the metadata service. This could allow significant access to the host/infrastructure."
"metadata-google.yaml","critical","misconfiguration/proxy/metadata-google.yaml","The Google cloud (GCP) host is configured as a proxy which allows access to the instance metadata service. This could allow significant access to the host/infrastructure."
"metadata-openstack.yaml","critical","misconfiguration/proxy/metadata-openstack.yaml","The Openstack host is configured as a proxy which allows access to the instance metadata service. This could allow significant access to the host/infrastructure."
"open-proxy-portscan.yaml","high","misconfiguration/proxy/open-proxy-portscan.yaml","The host is configured as a proxy which allows access to its internal interface"
"open-proxy-external.yaml","medium","misconfiguration/proxy/open-proxy-external.yaml","The host is configured as a proxy which allows access to other hosts on the external network."
"metadata-digitalocean.yaml","critical","misconfiguration/proxy/metadata-digitalocean.yaml","The DigitalOcean host is configured as a proxy which allows access to the instance metadata service. This could allow significant access to the host/infrastructure."
"metadata-aws.yaml","critical","misconfiguration/proxy/metadata-aws.yaml","The host is configured as a proxy which allows access to the metadata provided by a cloud provider such as AWS or OVH. This could allow significant access to the host/infrastructure."
"metadata-azure.yaml","critical","misconfiguration/proxy/metadata-azure.yaml","The Microsoft Azure cloud host is configured as a proxy which allows access to the instance metadata service. This could allow significant access to the host/infrastructure."
"open-proxy-localhost.yaml","high","misconfiguration/proxy/open-proxy-localhost.yaml","The host is configured as a proxy which allows access to web ports on the host's internal interface."
"open-proxy-internal.yaml","high","misconfiguration/proxy/open-proxy-internal.yaml","The host is configured as a proxy which allows access to other hosts on the internal network."
"unauth-apache-kafka-ui.yaml","medium","misconfiguration/unauth-apache-kafka-ui.yaml","Unauthorized access to apache kakfa UI."
"unauth-kubecost.yaml","medium","misconfiguration/unauth-kubecost.yaml","KubeCost Dashboard is exposed to external users."
"thanos-prometheus-exposure.yaml","high","misconfiguration/thanos-prometheus-exposure.yaml","Thanos graph endpoint was detected. "
"kubeflow-dashboard-unauth.yaml","high","misconfiguration/kubeflow-dashboard-unauth.yaml","Kubeflow internal data is exposed."
"jenkins-openuser-register.yaml","medium","misconfiguration/jenkins/jenkins-openuser-register.yaml","The Jenkins allows registering a new user and accessing the dashboard."
"docker-registry.yaml","medium","misconfiguration/docker-registry.yaml","Docker Registry Listing enabled."
"readarr-dashboard-unauth.yaml","medium","misconfiguration/readarr-dashboard-unauth.yaml","Exposure of Readarr dashboard which can lead to sensitive information disclosure. "
"lidarr-dashboard-unauth.yaml","medium","misconfiguration/lidarr-dashboard-unauth.yaml","Exposed Lidarr was detected which can lead to sensitive information disclosure. "
"sonarr-dashboard-unauth.yaml","medium","misconfiguration/sonarr-dashboard-unauth.yaml","Exposure of Sonarr dashboard which can lead to sensitive information disclosure. "
"unauth-axyom-network-manager.yaml","high","misconfiguration/unauth-axyom-network-manager.yaml","Axyom Network Manager exposed."
"netdisco-unauth.yaml","critical","misconfiguration/netdisco/netdisco-unauth.yaml","Detects an unauth dashboard access of Netdisco. "
"insecure-firebase-database.yaml","high","misconfiguration/google/insecure-firebase-database.yaml","If the owner of the app have set the security rules as true for both read & write an attacker can probably dump database and write his own data to firebase database."
"zabbix-dashboards-access.yaml","medium","misconfiguration/zabbix-dashboards-access.yaml","zabbix-dashboards-access guest login credentials were successful."
"perfsonar-toolkit.yaml","medium","misconfiguration/perfsonar-toolkit.yaml","perfSONAR Toolkit is exposed."
"tasmota-config-webui.yaml","medium","misconfiguration/tasmota-config-webui.yaml","Tasmota configuration is exposed."
"directory-listing-no-host-header.yaml","unknown","misconfiguration/directory-listing-no-host-header.yaml","The HTTP server is configured to list files in the root directory when no Host header is provided. "
"php-debugbar-exposure.yaml","high","misconfiguration/php-debugbar-exposure.yaml","The DebugBar integrates easily into projects and can display profiling data from any part of your application.This template detects exposed PHP Debug Bars by looking for known response bodies and the `phpdebugbar-id` in headers. "
"gocd-cruise-configuration.yaml","high","misconfiguration/gocd/gocd-cruise-configuration.yaml","GoCd Cruise Configuration is exposed."
"gocd-unauth-dashboard.yaml","medium","misconfiguration/gocd/gocd-unauth-dashboard.yaml","GoCd Dashboard is exposed."
"canon-c3325-unauth.yaml","high","misconfiguration/canon-c3325-unauth.yaml","Canon R-ADV C3325 unauthenticated dashboard has been exposed. "
"servicenow-widget-misconfig.yaml","unknown","misconfiguration/servicenow-widget-misconfig.yaml",""
"syncthing-dashboard.yaml","medium","misconfiguration/syncthing-dashboard.yaml","Syncthing Dashboard is exposed."
